"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1125185",206177,-1,"PVE7638","0.9521068334579468","2025-08-12 19:16:55.979244-03"
"1125186",206178,-1,"PVE7638","0.9400830864906311","2025-08-12 19:16:56.180424-03"
"1125187",206178,-1,"PVE7638","0.9277730584144592","2025-08-12 19:16:56.381634-03"
"1125188",206179,-1,"PYE7638","0.9588642120361328","2025-08-12 19:16:56.592858-03"
"1125189",206179,-1,"PYE7638","0.9167943000793457","2025-08-12 19:16:56.821529-03"
"1125190",206180,-1,"PYE7638","0.936771035194397","2025-08-12 19:16:57.198385-03"
"1125191",206180,-1,"PYE7638","0.9058356285095215","2025-08-12 19:16:57.399782-03"
"1125192",206181,-1,"PYE7638","0.9589134454727173","2025-08-12 19:16:57.608681-03"
"1125193",206181,-1,"PVE7638","0.9146164655685425","2025-08-12 19:16:57.802038-03"
"1125194",206182,-1,"PYE7638","0.9224433302879333","2025-08-12 19:16:58.001385-03"
"1125195",206182,-1,"PVE7638","0.9432485103607178","2025-08-12 19:16:58.22568-03"
"1125196",206183,-1,"PVE7638","0.9394212961196899","2025-08-12 19:16:58.446689-03"
"1125197",206183,-1,"PVE7638","0.9698359966278076","2025-08-12 19:16:58.644124-03"
"1125198",206184,-1,"PVE7638","0.9215602874755859","2025-08-12 19:16:58.855084-03"
"1125199",206184,-1,"PVE7638","0.8880828619003296","2025-08-12 19:16:59.050419-03"
"1125200",206185,-1,"PYE7638","0.9490466117858887","2025-08-12 19:16:59.261503-03"
"1125201",206185,-1,"PVE7638","0.9570543766021729","2025-08-12 19:16:59.446526-03"
"1125202",206186,-1,"PVE7638","0.9458314180374146","2025-08-12 19:16:59.635612-03"
"1125203",206186,-1,"PVE7638","0.948112428188324","2025-08-12 19:16:59.83686-03"
"1125204",206187,-1,"PVE7638","0.9670882225036621","2025-08-12 19:17:00.099361-03"
"1125205",206187,-1,"PVE7638","0.9628454446792603","2025-08-12 19:17:00.312319-03"
"1125206",206188,-1,"PVE7638","0.9158987998962402","2025-08-12 19:17:00.509772-03"
"1125207",206188,-1,"PVE7638","0.9788447618484497","2025-08-12 19:17:00.700867-03"
"1125208",206189,-1,"PVE7638","0.9482343792915344","2025-08-12 19:17:00.902315-03"
"1125209",206189,-1,"PVE7638","0.9165899753570557","2025-08-12 19:17:01.093607-03"
"1125210",206190,-1,"PVE7638","0.9286437034606934","2025-08-12 19:17:01.296713-03"
