"id","frame_nmr","car_id","license_number","license_number_score","data_hora"
"1105713",1384137,-1,"DDN2142","0.988831102848053","2025-08-11 10:18:42.617285-03"
"1105714",1384138,-1,"DDN2142","0.9762489199638367","2025-08-11 10:18:42.781154-03"
"1105715",1384138,-1,"DDN2142","0.9940747618675232","2025-08-11 10:18:42.934914-03"
"1105716",1384139,-1,"DDN2142","0.9873289465904236","2025-08-11 10:18:43.134107-03"
"1105717",1384139,-1,"DDN2142","0.9866485595703125","2025-08-11 10:18:43.305691-03"
"1105718",1384140,-1,"DDN2142","0.9961014986038208","2025-08-11 10:18:43.569944-03"
"1105719",1384140,-1,"DDN2142","0.9874953031539917","2025-08-11 10:18:43.741516-03"
"1105720",1384141,-1,"DDN2142","0.9912099838256836","2025-08-11 10:18:43.974162-03"
"1105721",1384141,-1,"DDN2142","0.987264096736908","2025-08-11 10:18:44.147686-03"
"1105722",1384142,-1,"DDN2142","0.799272358417511","2025-08-11 10:18:44.376567-03"
"1105723",1384142,-1,"DDN2142","0.8751659989356995","2025-08-11 10:18:44.550159-03"
"1105724",1384156,-1,"SYP8E23","0.9993716478347778","2025-08-11 10:18:45.868211-03"
"1105725",1384156,-1,"SYP8E23","0.9996199011802673","2025-08-11 10:18:46.039776-03"
"1105726",1384157,-1,"SYP8E23","0.9911426901817322","2025-08-11 10:18:46.199608-03"
"1105727",1384157,-1,"SYP8E23","0.9857020378112793","2025-08-11 10:18:46.368898-03"
"1105728",1384158,-1,"SYP8E23","0.9844240546226501","2025-08-11 10:18:46.534783-03"
"1105729",1384158,-1,"SYP8E23","0.9898180961608887","2025-08-11 10:18:46.692529-03"
"1105730",1385031,-1,"PWY4655","0.9906371831893921","2025-08-11 10:21:08.602326-03"
"1105731",1385031,-1,"PWY4655","0.9934571385383606","2025-08-11 10:21:08.795373-03"
"1105732",1385032,-1,"PWY4655","0.6334330439567566","2025-08-11 10:21:09.123098-03"
"1105733",1389782,-1,"JFO1327","0.8048889636993408","2025-08-11 10:33:41.403571-03"
"1105734",1389782,-1,"JFO1327","0.901481032371521","2025-08-11 10:33:41.577143-03"
"1105735",1391959,-1,"OPO3398","0.9122509956359863","2025-08-11 10:39:23.335461-03"
"1105736",1391959,-1,"OPO3398","0.8840530514717102","2025-08-11 10:39:23.645603-03"
"1105737",1391960,-1,"OPO3398","0.9148191213607788","2025-08-11 10:39:23.937513-03"
"1105738",1391960,-1,"OPO3398","0.9232189059257507","2025-08-11 10:39:24.103071-03"
"1105739",1391961,-1,"OPO3398","0.912459671497345","2025-08-11 10:39:24.304256-03"
"1105740",1391961,-1,"OPO3398","0.9563344120979309","2025-08-11 10:39:24.507431-03"
